community,n_skus,total_revenue,dec_core_revenue_pct,val_core_revenue_pct,dec_core_top3_pct,val_core_top5_pct,dec_core_dominant,Competitive Fighter,KVI,Premium Leader,Traffic Driver,low_core_coverage,alta_fragilidad_dec,alta_fragilidad_val,contradiccion_dec_val,CDI_DEC,CDI_VAL,DEC_CORE_GAP,VAL_CORE_GAP,core_profile_refined,dec_vs_val_diff,cdi_mean,segment,dec_score,val_score,core_score_raw,structure_intensity,core_score,core_score_refined,core_score_refined_pct,quadrant,Strategic High Margin,role_dominance,role_entropy,inventory_type,cont_strategic_fragile,cont_operational_complex,cont_dominant_no_focus,cont_complex_low_value,cont_score,canib_internal_pct,canib_z,canib_flag,rev_norm,dec_norm,val_norm,entropy_norm,executive_score,exec_rank,exec_tier
Agrícola_|_Implementos_Community_01,38,976927682.77,24.3,42.5,11.6,21.3,False,25.8,22.9,36.2,15.1,False,False,False,False,0.4773662551420685,0.501176470587056,12.7,21.2,Strategic Driven,-18.2,0.4892713628645623,Agrícola_|_Implementos_Community_01,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.4266092955703157,95.5,Q1 – VAL Dominant,0.0,0.36200000000000004,1.93376665852648,Hyper-Competitive,0,0,0,0,0,23.186344238975817,-0.19076884724000553,🟢 NORMAL,0.8156791352476551,0.24300000000000002,0.7179054054054053,0.9761090204389085,0.46888710340652257,4,Tier 1 — Palanca estratégica
Agrícola_|_Implementos_Community_02,42,1194817889.01,24.2,43.4,11.7,19.6,False,36.3,8.9,36.0,18.7,False,False,False,False,0.4834710743781675,0.4516129032247659,12.5,23.8,Strategic Driven,-19.2,0.4675419888014667,Agrícola_|_Implementos_Community_02,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.42986870167978,97.2,Q1 – VAL Dominant,0.0,0.36336336336336333,1.824635765764252,Hyper-Competitive,0,0,0,0,0,27.06155632984901,0.2767169300602051,🟢 NORMAL,0.9999999999999999,0.242,0.733108108108108,0.9210229280378054,0.5516747342232464,1,Tier 1 — Palanca estratégica
Agrícola_|_Premium_Radial_Community_01,18,359125931.53,17.0,51.2,17.0,44.6,False,28.9,18.8,24.4,28.0,False,False,True,False,0.9999999999941176,0.8710937499982986,0.0,6.600000000000001,Strategic Driven,-34.2,0.935546874996208,Agrícola_|_Premium_Radial_Community_01,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.3596679687505688,61.1,Q1 – VAL Dominant,0.0,0.2887112887112887,1.9810970066201825,Hyper-Competitive,0,1,0,0,1,20.915032679738562,-0.4647682632362863,🟢 NORMAL,0.29305925710296676,0.17,0.8648648648648648,1.0,0.07593991905740288,46,Tier 3 — Monitorizar
Agrícola_|_Premium_Radial_Community_02,33,740104092.6500001,25.1,41.2,14.9,23.6,False,28.8,10.6,38.6,22.0,False,False,False,False,0.5936254980056032,0.5728155339791922,10.2,17.6,Strategic Driven,-16.1,0.5832205159923977,Agrícola_|_Premium_Radial_Community_02,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.4125169226011403,88.3,Q3 – DEC Dominant,0.0,0.386,1.8710987627020979,Hyper-Competitive,0,0,0,0,0,26.136363636363637,0.16510641292615366,🟢 NORMAL,0.6153418659506942,0.251,0.6959459459459459,0.9444760940274473,0.3884256234640195,11,Tier 1 — Palanca estratégica
Agrícola_|_Premium_Radial_Community_03,29,668347754.6700001,25.2,42.1,16.5,23.1,False,32.3,12.5,38.1,17.0,False,False,False,False,0.6547619047593065,0.5486935866970339,8.7,19.0,Strategic Driven,-16.900000000000002,0.6017277457281702,Agrícola_|_Premium_Radial_Community_03,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.4097408381407744,86.9,Q2 – Best-in-Class,0.0,0.3813813813813814,1.8670334025999622,Hyper-Competitive,0,0,0,0,0,25.615763546798032,0.10230387932900617,🟢 NORMAL,0.5546406967876946,0.252,0.7111486486486486,0.9424240187941041,0.36840103899782956,18,Tier 1 — Palanca estratégica
Agrícola_|_Tractor_Community_01,40,1188790755.49,24.6,41.6,12.8,19.4,False,24.2,12.9,37.6,25.3,False,False,False,False,0.5203252032499174,0.4663461538450327,11.8,22.200000000000003,Strategic Driven,-17.0,0.493335678547475,Agrícola_|_Tractor_Community_01,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.4259996482178787,95.2,Q4 – Low Impact,0.0,0.376,1.9087482826635835,Hyper-Competitive,0,0,0,0,0,25.384615384615383,0.07441934662846898,🟢 NORMAL,0.994901439208513,0.24600000000000002,0.7027027027027026,0.9634804738410926,0.5387882039749716,2,Tier 1 — Palanca estratégica
Agrícola_|_Tractor_Community_02,40,1082091221.29,24.4,43.1,11.3,20.8,False,40.4,12.9,38.1,8.6,False,False,False,False,0.4631147540964627,0.4825986078875113,13.099999999999998,22.3,Strategic Driven,-18.700000000000003,0.4728566809919871,Agrícola_|_Tractor_Community_02,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.4290714978512019,96.8,Q1 – VAL Dominant,0.0,0.40399999999999997,1.7442001823414262,Hyper-Competitive,0,0,0,0,0,27.307692307692307,0.30640951622719675,🟢 NORMAL,0.9046406112814709,0.244,0.7280405405405405,0.8804213910337938,0.5168242405443442,3,Tier 1 — Palanca estratégica
Camión_|_Long_Haul_Community_01,39,1069637167.67,14.6,52.8,9.1,21.2,False,41.0,19.6,23.0,16.5,False,False,False,False,0.6232876712286076,0.401515151514391,5.5,31.6,Strategic Driven,-38.2,0.5124014113714993,Camión_|_Long_Haul_Community_01,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.4231397882942751,93.7,Q1 – VAL Dominant,0.0,0.4095904095904096,1.904313324458791,Hyper-Competitive,0,1,0,0,1,24.021592442645073,-0.0900087735783486,🟢 NORMAL,0.8941052963973223,0.146,0.8918918918918917,0.9612418362630375,0.3209909079055981,22,Tier 2 — Operación crítica
Camión_|_Long_Haul_Community_02,2,76066694.53,40.8,59.2,40.8,59.2,False,59.2,0.0,40.8,0.0,False,True,True,False,0.999999999997549,0.9999999999983108,0.0,0.0,Strategic Driven,-18.40000000000001,0.99999999999793,Camión_|_Long_Haul_Community_02,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.3500000000003105,56.1,Q2 – Best-in-Class,0.0,0.5920000000000001,0.9754383526853786,Premium Misaligned,1,0,0,0,1,0.0,-2.987850892074737,⚪ NO DATA,0.05360965429470194,0.408,0.9999999999999999,0.4923728365778054,0.12420657806010021,44,Tier 3 — Monitorizar
Camión_|_Long_Haul_Community_03,8,239997032.55,19.9,35.5,33.1,63.6,False,17.6,21.3,33.1,28.1,False,True,True,False,1.6633165829062149,1.791549295769601,-13.200000000000005,-28.1,Strategic Driven,-15.6,1.7274329393379082,Camión_|_Long_Haul_Community_03,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4333333333333332,0.2408850590993138,0.0,Q4 – Low Impact,0.0,0.3306693306693307,1.9584106328384538,Hyper-Competitive,0,0,0,1,1,17.857142857142858,-0.8336564600865508,🟢 NORMAL,0.19228399943579905,0.19899999999999998,0.5996621621621621,0.9885485800513967,-0.02227571769027953,52,Tier 3 — Monitorizar
